Bus_No,Bus_type,Pg,Qg,Pl,Ql,Vmag,Delta,Qmin,Qmax,Vr,Vm,Psh,Qsh,Ir,Im,d_Ir_Vr,d_Ir_Vm,d_Im_Vr,d_Im_Vm,d_Ir_Q,d_Im_Q,delta_IR,delta_IM
11,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
12,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
13,1,0.0,0.0,1.379,0.28073862276570344,1.02,0.0,0.0,2.4,1.02,0.0,-1.379,-0.28073862276570344,-1.3519607843137254,0.27523394388794453,1.3254517493271818,-0.2698371998901417,-0.2698371998901417,-0.2698371998901417,0.0,-0.9423223345470445,-2.7039215686274507,0.5504678877758891
14,2,0.0,0.0,1.0083,0.2026240348084939,0.98,0.0,-0.5,2.0,0.98,0.0,-1.0083,-0.2026240348084939,-1.0288775510204082,0.20675921919234072,1.0498750520616411,-0.2109787950942252,-0.2109787950942252,-0.2109787950942252,0.0,-1.062482469039261,-2.0577551020408165,0.19823395359465568
15,2,0.5424,0.0,1.6459000000000001,0.33248791938827793,1.014,0.0,-0.5,1.1,1.014,0.0,-1.1035000000000001,-0.33248791938827793,-1.0882642998027614,0.32789735639869616,1.0732389544405931,-0.3233701739632112,-0.3233701739632112,-0.3233701739632112,0.0,-0.9591491251527932,-2.176528599605523,0.3368892157922531
16,2,2.8613,0.0,0.519,0.10374680267307268,1.017,0.0,-0.5,0.8,1.017,0.0,2.3423,-0.10374680267307268,2.3031465093412,0.10201258866575486,-2.2646475018104226,-0.10030736348648463,-0.10030736348648463,-0.10030736348648463,0.0,-0.9506860936593905,4.6062930186824,0.10539453476859463
17,1,2.6241000000000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.6241000000000003,0.0,2.6241000000000003,0.0,-2.6241000000000003,0.0,0.0,0.0,0.0,-1.0,5.248200000000001,0.0
18,1,3.6873,0.0,1.7349,0.354097904426956,1.05,0.0,-0.5,2.0,1.05,0.0,1.9524,-0.354097904426956,1.8594285714285714,0.3372360994542438,-1.7708843537414967,-0.3211772375754703,-0.3211772375754703,-0.3211772375754703,0.0,-0.8638375985314761,3.718857142857143,0.6744721989084876
19,1,1.4411,0.0,0.9490000000000001,0.19418729623113903,1.0,0.0,0.0,0.0,1.0,0.0,0.4921,-0.19418729623113903,0.4921,0.19418729623113903,-0.4921,-0.19418729623113903,-0.19418729623113903,-0.19418729623113903,0.0,-1.0,0.9842,0.38837459246227807
20,1,1.0356,0.0,0.6673,0.13550104424107098,1.0,0.0,0.0,0.0,1.0,0.0,0.36830000000000007,-0.13550104424107098,0.36830000000000007,0.13550104424107098,-0.36830000000000007,-0.13550104424107098,-0.13550104424107098,-0.13550104424107098,0.0,-1.0,0.7366000000000001,0.27100208848214197
